Name,ID,[Birth Place] Location Reference,Birth Place,[Birth Place] Geometry,Birth Geometry,[Death Place] Location Reference,Death Place,[Death Place] Geometry,Death Geometry
Giovanni Domenico Candela,123298,San Fratello (IT),San Fratello,"{""type"": ""Point"", ""coordinates"": [14.59817028, 38.01705933]}","14.59817028, 38.01705933",Catania (IT),Catania,"{""type"": ""Point"", ""coordinates"": [15.08718967, 37.5021286]}","15.08718967, 37.5021286"
Martin Fornari,123293,Brindisi (IT),Brindisi,"{""type"": ""Point"", ""coordinates"": [17.93681908, 40.62773132]}","17.93681908, 40.62773132",Napoli (IT),Napoli,"{""type"": ""Point"", ""coordinates"": [14.25, 40.83332825]}","14.25, 40.83332825"
Jean Bernard,123291,,,,,,,,
Valère Regnault,123280,,,,,,,,
Karel Van Mallery,123278,,,,,,,,
Martin Christofle,123277,Tours (FR),Tours,"{""type"": ""Point"", ""coordinates"": [0.68333, 47.3833313]}","0.68333, 47.3833313",Cambrai (FR),Cambrai,"{""type"": ""Point"", ""coordinates"": [3.2333300100000004, 50.16667175]}","3.2333300100000004, 50.16667175"
Guillaume de Le Val,123251,,,,,,,,
Antoine Vivien,123244,Périgueux (FR),Périgueux,"{""type"": ""Point"", ""coordinates"": [0.71666998, 45.18333054]}","0.71666998, 45.18333054",Toulouse (FR),Toulouse,"{""type"": ""Point"", ""coordinates"": [1.44367003, 43.60425949]}","1.44367003, 43.60425949"
Nicolas Dubois,123243,,,,,,,,
Johannes Cassianus,123239,,,,,,,,
Jacques Du Jardin,123233,Lille (FR),Lille,"{""type"": ""Point"", ""coordinates"": [3.05857992, 50.6329689]}","3.05857992, 50.6329689",Liège (BE),Liège,"{""type"": ""Point"", ""coordinates"": [5.5674901, 50.63373184]}","5.5674901, 50.63373184"
Nicolas Le Creux,123232,,,,,,,,
Jeanne Van Yedeghem,123196,,,,,,,,
Pierre Coton,123190,Roanne (FR),Roanne,"{""type"": ""Point"", ""coordinates"": [4.06666994, 46.03332901]}","4.06666994, 46.03332901",Paris (FR),Paris,"{""type"": ""Point"", ""coordinates"": [2.34879994, 48.85340881]}","2.34879994, 48.85340881"
Francisco Panigarola,123188,Milano (IT),Milano,"{""type"": ""Point"", ""coordinates"": [9.18951035, 45.46427155]}","9.18951035, 45.46427155",Asti (IT),Asti,"{""type"": ""Point"", ""coordinates"": [8.20683956, 44.89794922]}","8.20683956, 44.89794922"
François Arnoux,123176,,,,,,,,
Jean Blancone,123169,,,,,,,,
Jean-Antoine de Baïf,123162,,,,,,,,
René Gaultier,123159,Angers (FR),Angers,"{""type"": ""Point"", ""coordinates"": [-0.55000001, 47.466670990000004]}","-0.55000001, 47.466670990000004",,,,
Geoffroy de Billy,123156,Guise (FR),Guise,"{""type"": ""Point"", ""coordinates"": [3.62801003, 49.90055084000001]}","3.62801003, 49.90055084000001",Anizy-le-Château (FR),Anizy-le-Château,"{""type"": ""Point"", ""coordinates"": [3.4511899899999996, 49.50677871999999]}","3.4511899899999996, 49.50677871999999"
Gilles Waulde,123154,,,,,,,,
Pierre Wasteels,123153,,,,,,,,
Jean Vignoble,123151,,,,,,,,
Guy Stassart,123146,,,,,,,,
Charles de Semerpont,123144,,,,,,,,
Maximilien Segon,123142,,,,,,,,
Jean Rommelius,123141,,,,,,,,
François Rielant,123129,,,,,,,,
Thomas Aquinas,123120,,,,,,,,
Jean de Moncheaulx,123113,,,,,,,,
Philippe Le Roy,123110,,,,,,,,
Jean de Le Barre,123103,,,,,,,,
Johann Justus Lanspergius,123100,Landsberg am Lech (DE),Landsberg am Lech,"{""type"": ""Point"", ""coordinates"": [10.88282013, 48.04819107]}","10.88282013, 48.04819107",Köln (DE),Köln,"{""type"": ""Point"", ""coordinates"": [6.9499998100000004, 50.93333054000001]}","6.9499998100000004, 50.93333054000001"
Jean Landtsocht,123096,,,,,,,,
Guillaume du Tielt,123092,,,,,Ieper (BE),Ieper,"{""type"": ""Point"", ""coordinates"": [2.88568997, 50.85113907]}","2.88568997, 50.85113907"
Guillaume Jansson,123090,,,,,,,,
François Jacops,123088,,,,,,,,
Géry Jacobi,123082,,,,,,,,
Francesco Pasio,123080,Bologna (IT),Bologna,"{""type"": ""Point"", ""coordinates"": [11.33874989, 44.49380875]}","11.33874989, 44.49380875",,,,
Luis de Cerqueira,123079,Alvito (PT),Alvito,"{""type"": ""Point"", ""coordinates"": [-8.02074, 38.23437]}","-8.02074, 38.23437",,,,
Jean Houseau,123077,,,,,,,,
Arnold Hesselius,123067,,,,,,,,
Pierre Marchant,123062,Couvin (BE),Couvin,"{""type"": ""Point"", ""coordinates"": [4.49494982, 50.052841189999995]}","4.49494982, 50.052841189999995",Gent (BE),Gent,"{""type"": ""Point"", ""coordinates"": [3.7166700400000003, 51.04999924]}","3.7166700400000003, 51.04999924"
Pierre Baudouin,123055,,,,,,,,
Jean Curtius,123054,,,,,,,,
Arnold Frisoy,123052,,,,,,,,
Antoine du Tertre,123048,,,,,,,,
Paul du Bois,123047,,,,,,,,
Raymundus Jordanus,123046,,,,,,,,
Jean Des Laviers,123043,,,,,,,,
Simon des Gardins,123041,,,,,,,,
Marie de Lens,123036,,,,,,,,
Antoine Dassonneville,123031,,,,,,,,
Aelien Danin,123030,,,,,,,,
Nicolas Du Fief,123029,Tournai (BE),Tournai,"{""type"": ""Point"", ""coordinates"": [3.3893199, 50.60715103]}","3.3893199, 50.60715103",Brussel (),Brussel,,
Pierre Loyers,123028,,,,,,,,
François de Courcol,123026,,,,,,,,
Charles Carpentier,123025,,,,,,,,
Jacques Le Clercq,123024,,,,,,,,
Ghislain Capoy,123023,,,,,,,,
Balthazar de Collem,123022,,,,,,,,
Pierre de Croix,123020,,,,,,,,
Josse de Rycke,123017,,,,,,,,
Antoine Chiabert de Morin,123016,,,,,,,,
Jean de Morin,123015,,,,,,,,
Guillaume Blondius,123013,,,,,,,,
Paul de Mol,123011,,,,,,,,
Philibert Emmanuel de Lalaing,123001,,,,,,,,
Floris van der Haer,122997,Leuven (BE),Leuven,"{""type"": ""Point"", ""coordinates"": [4.70093012, 50.879589079999995]}","4.70093012, 50.879589079999995",,,,
Matthias Valkius,122996,,,,,,,,
Pierre Thoelen,122995,,,,,,,,
A. D.L.,122994,,,,,,,,
Pierre Pennequin,122993,Lille (FR),Lille,"{""type"": ""Point"", ""coordinates"": [3.05857992, 50.6329689]}","3.05857992, 50.6329689",Mons (BE),Mons,"{""type"": ""Point"", ""coordinates"": [3.95229006, 50.45412827]}","3.95229006, 50.45412827"
Robert de Saint-Omer,122990,,,,,,,,
Joannes Hunthemius,122983,,,,,,,,
Nicolas de Nomexy,122979,,,,,,,,
Alberico Cibo Malaspina,122976,,,,,,,,
Paolo Manuzio,122973,,,,,,,,
Jean Manare,122970,,,,,,,,
Jean Le Lievre,122957,,,,,,,,
Jean de La Mare,122954,,,,,,,,
Jean de Lalne,122951,,,,,,,,
Adrien de La Bourse,122947,,,,,,,,
Jean Jaupin,122942,,,,,,,,
Nicolas Grenier,122939,,,,,,,,
Corneille Perdu,122938,Bergues (FR),Bergues,"{""type"": ""Point"", ""coordinates"": [2.43242002, 50.968818660000004]}","2.43242002, 50.968818660000004",Valenciennes (FR),Valenciennes,"{""type"": ""Point"", ""coordinates"": [3.5333299599999997, 50.34999847000001]}","3.5333299599999997, 50.34999847000001"
Jean Gaudion,122936,,,,,,,,
Jaspar Lovay,122933,,,,,,,,
William Fitzgerald,122932,,,,,,,,
Jean Faultré,122930,,,,,,,,
Antoine de La Cauchie,122928,Mons (BE),Mons,"{""type"": ""Point"", ""coordinates"": [3.95229006, 50.45412827]}","3.95229006, 50.45412827",Douai (FR),Douai,"{""type"": ""Point"", ""coordinates"": [3.0666699399999997, 50.3666687]}","3.0666699399999997, 50.3666687"
Henri Fabricius,122927,,,,,,,,
Adrien De Witte,122920,,,,,,,,
Jacques De Heule,122917,,,,,,,,
Alard de Comont,122912,,,,,,,,
Nicolas Cleynaerts,122906,Diest (BE),Diest,"{""type"": ""Point"", ""coordinates"": [5.05062008, 50.98923110999999]}","5.05062008, 50.98923110999999",Alhambra (ES),Alhambra,"{""type"": ""Point"", ""coordinates"": [-3.05332994, 38.89925003]}","-3.05332994, 38.89925003"
Pierre Bouille,122903,Dinant (BE),Dinant,"{""type"": ""Point"", ""coordinates"": [4.91166019, 50.2580719]}","4.91166019, 50.2580719",Valenciennes (FR),Valenciennes,"{""type"": ""Point"", ""coordinates"": [3.5333299599999997, 50.34999847000001]}","3.5333299599999997, 50.34999847000001"
Bon Camu,122900,,,,,,,,
Matthias Bar,122899,,,,,,,,
Guillaume Bleuwart,122888,,,,,,,,
Philippe de Lamine,122887,,,,,,,,
Adrien de Gomiecourt,122886,,,,,,,,
Philippe d'Oignies,122883,,,,,,,,
Antoine d'Outreman,122880,Valenciennes (FR),Valenciennes,"{""type"": ""Point"", ""coordinates"": [3.5333299599999997, 50.34999847000001]}","3.5333299599999997, 50.34999847000001",Valenciennes (FR),Valenciennes,"{""type"": ""Point"", ""coordinates"": [3.5333299599999997, 50.34999847000001]}","3.5333299599999997, 50.34999847000001"
Diego Sánchez,122878,Baeza (ES),Baeza,"{""type"": ""Point"", ""coordinates"": [-3.47103, 37.99383926]}","-3.47103, 37.99383926",Roma (IT),Roma,"{""type"": ""Point"", ""coordinates"": [12.48390007, 41.89474106]}","12.48390007, 41.89474106"
Alexandrine de Langlée Wavrain,122873,,,,,,,,
Manuel Rodríguez,122861,,,,,,,,
Charles de Par,122860,,,,,,,,
Charles-Philippe d'Arenberg,122856,,,,,Madrid (ES),Madrid,"{""type"": ""Point"", ""coordinates"": [-3.7025599500000004, 40.41650009]}","-3.7025599500000004, 40.41650009"
Pierre du Jarric,122846,Toulouse (FR),Toulouse,"{""type"": ""Point"", ""coordinates"": [1.44367003, 43.60425949]}","1.44367003, 43.60425949",Saintes (FR),Saintes,"{""type"": ""Point"", ""coordinates"": [-0.63332999, 45.75]}","-0.63332999, 45.75"
Jean Collaert,122844,,,,,,,,
Nicolas Mainfroy,122830,,,,,,,,
Orfeo Vecchi,122829,,,,,,,,
Jan Buys,122801,Nijmegen (NL),Nijmegen,"{""type"": ""Point"", ""coordinates"": [5.85277987, 51.84249878]}","5.85277987, 51.84249878",Mainz (DE),Mainz,"{""type"": ""Point"", ""coordinates"": [8.27910042, 49.98419188999999]}","8.27910042, 49.98419188999999"
Catherine de Coupigny,122799,,,,,,,,
Jean Bouschot,122797,,,,,,,,
Louyse d'Aoust,122796,,,,,,,,
Johann Trittheim,122794,Trittenheim (DE),Trittenheim,"{""type"": ""Point"", ""coordinates"": [6.9000001, 49.81666946]}","6.9000001, 49.81666946",Würzburg (DE),Würzburg,"{""type"": ""Point"", ""coordinates"": [9.93610954, 49.78778076]}","9.93610954, 49.78778076"
Humbert de Romans,122792,,,,,,,,
Antoinette de Maulde,122790,,,,,,,,
Jean Polman,122787,,,,,Cambrai (FR),Cambrai,"{""type"": ""Point"", ""coordinates"": [3.2333300100000004, 50.16667175]}","3.2333300100000004, 50.16667175"
Robert de Hauport,122786,,,,,,,,
Carolus Maes,122785,,,,,,,,
Jean Farinart,122776,Ath (BE),Ath,"{""type"": ""Point"", ""coordinates"": [3.7780098900000003, 50.62937164]}","3.7780098900000003, 50.62937164",Chièvres (BE),Chièvres,"{""type"": ""Point"", ""coordinates"": [3.8071100700000002, 50.58787155000001]}","3.8071100700000002, 50.58787155000001"
Nicolas Beharel,122772,,,,,,,,
Louise de Barbaize,122768,,,,,,,,
Jacques de Marquais,122766,,,,,,,,
Marguerite de Hinkaert,122760,,,,,,,,
Pierre de Besse,122759,,,,,,,,
François Desmarez,122756,,,,,,,,
Bernardino Rossignolo,122747,,,,,,,,
Eric de Lorraine,122743,Nancy (FR),Nancy,"{""type"": ""Point"", ""coordinates"": [6.1999998100000004, 48.68333053999999]}","6.1999998100000004, 48.68333053999999",Nancy (FR),Nancy,"{""type"": ""Point"", ""coordinates"": [6.1999998100000004, 48.68333053999999]}","6.1999998100000004, 48.68333053999999"
Jean Le Maieur,122742,Béthune (FR),Béthune,"{""type"": ""Point"", ""coordinates"": [2.63333011, 50.533329009999996]}","2.63333011, 50.533329009999996",Douai (FR),Douai,"{""type"": ""Point"", ""coordinates"": [3.0666699399999997, 50.3666687]}","3.0666699399999997, 50.3666687"
Adrien du Quesnoy,122739,,,,,,,,
Jean Waldor,122737,,,,,,,,
Jan Busch,122736,Zwolle (NL),Zwolle,"{""type"": ""Point"", ""coordinates"": [6.09443998, 52.51250076000001]}","6.09443998, 52.51250076000001",Hildesheim (DE),Hildesheim,"{""type"": ""Point"", ""coordinates"": [9.95112038, 52.15076828]}","9.95112038, 52.15076828"
Herman Van Ludingakerke,122735,,,,,,,,
Aegidius Aurifaber,122734,,,,,,,,
Jacobus de Graphiis,122730,,,,,,,,
John Young,122729,,,,,,,,
François Dooms,122728,,,,,,,,
Viglius ab Aytta Zuichemus,122726,Leeuwarden (NL),Leeuwarden,"{""type"": ""Point"", ""coordinates"": [5.80858994, 53.20138931]}","5.80858994, 53.20138931",Brussel (),Brussel,,
Charles de Cossé,122725,,,,,,,,
Alan Cope,122724,,,,,Roma (IT),Roma,"{""type"": ""Point"", ""coordinates"": [12.48390007, 41.89474106]}","12.48390007, 41.89474106"
Baudouin Willot,122715,Binche (BE),Binche,"{""type"": ""Point"", ""coordinates"": [4.16469002, 50.41154861]}","4.16469002, 50.41154861",Lille (FR),Lille,"{""type"": ""Point"", ""coordinates"": [3.05857992, 50.6329689]}","3.05857992, 50.6329689"
S.P.Q. Montanus,122711,,,,,,,,
Philippe Hippolyte Charles Spinola,122708,,,,,,,,
Jean Blaer,122707,,,,,,,,
Jérôme de France,122706,,,,,,,,
Pierre Marie,122705,Rouen (FR),Rouen,"{""type"": ""Point"", ""coordinates"": [1.09932005, 49.44313049]}","1.09932005, 49.44313049",Bourges (FR),Bourges,"{""type"": ""Point"", ""coordinates"": [2.4000001, 47.08332825]}","2.4000001, 47.08332825"
Antoine d'Averoult,122704,Saint-Omer (FR),Saint-Omer,"{""type"": ""Point"", ""coordinates"": [2.25, 50.75]}","2.25, 50.75",Tournai (BE),Tournai,"{""type"": ""Point"", ""coordinates"": [3.3893199, 50.60715103]}","3.3893199, 50.60715103"
Christophe Labé,122699,,,,,,,,
Pierre d'Outreman,122697,Valenciennes (FR),Valenciennes,"{""type"": ""Point"", ""coordinates"": [3.5333299599999997, 50.34999847000001]}","3.5333299599999997, 50.34999847000001",Valenciennes (FR),Valenciennes,"{""type"": ""Point"", ""coordinates"": [3.5333299599999997, 50.34999847000001]}","3.5333299599999997, 50.34999847000001"
Geoffroy de la Martonie,122695,,,,,Amiens (FR),Amiens,"{""type"": ""Point"", ""coordinates"": [2.29999995, 49.900001530000004]}","2.29999995, 49.900001530000004"
Robert Viseur,122693,Amiens (FR),Amiens,"{""type"": ""Point"", ""coordinates"": [2.29999995, 49.900001530000004]}","2.29999995, 49.900001530000004",Amiens (FR),Amiens,"{""type"": ""Point"", ""coordinates"": [2.29999995, 49.900001530000004]}","2.29999995, 49.900001530000004"
Géry Lespagnol,122691,,,,,,,,
Pierre Pierart,122683,,,,,,,,
Johann Nider,122681,Isny im Allgäu (DE),Isny im Allgäu,"{""type"": ""Point"", ""coordinates"": [10.0385704, 47.692600250000005]}","10.0385704, 47.692600250000005",Nuremberg (DE),Nuremberg,"{""type"": ""Point"", ""coordinates"": [11.06832981, 49.44778061000001]}","11.06832981, 49.44778061000001"
Nicolas Chevalier,122675,,,,,,,,
Pietro Aloysio Caraffa,122672,,,,,,,,
Renée de Lorraine,122667,,,,,München (DE),München,"{""type"": ""Point"", ""coordinates"": [11.57549, 48.13742828]}","11.57549, 48.13742828"
Louis Foulon,122664,,,,,,,,
Barthélémy Fisen,122661,Liège (BE),Liège,"{""type"": ""Point"", ""coordinates"": [5.5674901, 50.63373184]}","5.5674901, 50.63373184",Lille (FR),Lille,"{""type"": ""Point"", ""coordinates"": [3.05857992, 50.6329689]}","3.05857992, 50.6329689"
Leonard Betten,122651,,,,,Sint-Truiden (BE),Sint-Truiden,"{""type"": ""Point"", ""coordinates"": [5.18647003, 50.81679153]}","5.18647003, 50.81679153"
Henri de Sommal,122650,Dinant (BE),Dinant,"{""type"": ""Point"", ""coordinates"": [4.91166019, 50.2580719]}","4.91166019, 50.2580719",Valenciennes (FR),Valenciennes,"{""type"": ""Point"", ""coordinates"": [3.5333299599999997, 50.34999847000001]}","3.5333299599999997, 50.34999847000001"
Georges Wion,122648,,,,,,,,
