Name,ID,[Birth Place] Location Reference,Birth Place,[Birth Place] Geometry,Birth Geometry,[Death Place] Location Reference,Death Place,[Death Place] Geometry,Death Geometry
Jean Buzelin,122475,Cambrai (FR),Cambrai,"{""type"": ""Point"", ""coordinates"": [3.2333300100000004, 50.16667175]}","3.2333300100000004, 50.16667175",Lille (FR),Lille,"{""type"": ""Point"", ""coordinates"": [3.05857992, 50.6329689]}","3.05857992, 50.6329689"
Antoine Le Waitte,122021,,,,,,,,
David Charlart,121960,Mons (BE),Mons,"{""type"": ""Point"", ""coordinates"": [3.95229006, 50.45412827]}","3.95229006, 50.45412827",,,,
Guillaume Seguier,121959,,,,,,,,
Turrien Le Febvre,121951,Douai (FR),Douai,"{""type"": ""Point"", ""coordinates"": [3.0666699399999997, 50.3666687]}","3.0666699399999997, 50.3666687",Douai (FR),Douai,"{""type"": ""Point"", ""coordinates"": [3.0666699399999997, 50.3666687]}","3.0666699399999997, 50.3666687"
Jean-Erard Foullon,121950,Liège (BE),Liège,"{""type"": ""Point"", ""coordinates"": [5.5674901, 50.63373184]}","5.5674901, 50.63373184",Tournai (BE),Tournai,"{""type"": ""Point"", ""coordinates"": [3.3893199, 50.60715103]}","3.3893199, 50.60715103"
Laurent Chifflet,121939,Besançon (FR),Besançon,"{""type"": ""Point"", ""coordinates"": [6.01814985, 47.2487793]}","6.01814985, 47.2487793",Antwerpen (BE),Antwerpen,"{""type"": ""Point"", ""coordinates"": [4.40346003, 51.219890590000006]}","4.40346003, 51.219890590000006"
Adrien Driscart,121920,,,,,,,,
Gerard Eloy,121919,Durbuy (BE),Durbuy,"{""type"": ""Point"", ""coordinates"": [5.4563098, 50.35290909]}","5.4563098, 50.35290909",Brussel (),Brussel,,
Jacques Hautin,121917,Lille (FR),Lille,"{""type"": ""Point"", ""coordinates"": [3.05857992, 50.6329689]}","3.05857992, 50.6329689",Lille (FR),Lille,"{""type"": ""Point"", ""coordinates"": [3.05857992, 50.6329689]}","3.05857992, 50.6329689"
Heribert Rosweyde,121915,Utrecht (NL),Utrecht,"{""type"": ""Point"", ""coordinates"": [5.12222004, 52.09083176]}","5.12222004, 52.09083176",Antwerpen (BE),Antwerpen,"{""type"": ""Point"", ""coordinates"": [4.40346003, 51.219890590000006]}","4.40346003, 51.219890590000006"
François Lahier,121913,Épinal (FR),Épinal,"{""type"": ""Point"", ""coordinates"": [6.4499998100000004, 48.18333054]}","6.4499998100000004, 48.18333054",Pont-à-Mousson (FR),Pont-à-Mousson,"{""type"": ""Point"", ""coordinates"": [6.05889988, 48.9078598]}","6.05889988, 48.9078598"
Jacques d'Amiens,121900,Arras (FR),Arras,"{""type"": ""Point"", ""coordinates"": [2.78186011, 50.29301071]}","2.78186011, 50.29301071",Tournai (BE),Tournai,"{""type"": ""Point"", ""coordinates"": [3.3893199, 50.60715103]}","3.3893199, 50.60715103"
Petrus Rucholle,121896,Antwerpen (BE),Antwerpen,"{""type"": ""Point"", ""coordinates"": [4.40346003, 51.219890590000006]}","4.40346003, 51.219890590000006",Antwerpen (BE),Antwerpen,"{""type"": ""Point"", ""coordinates"": [4.40346003, 51.219890590000006]}","4.40346003, 51.219890590000006"
Jean Schelpin,121830,,,,,,,,
Dominique Guerard,121820,Arras (FR),Arras,"{""type"": ""Point"", ""coordinates"": [2.78186011, 50.29301071]}","2.78186011, 50.29301071",Arras (FR),Arras,"{""type"": ""Point"", ""coordinates"": [2.78186011, 50.29301071]}","2.78186011, 50.29301071"
Jean Vincart,121799,Lille (FR),Lille,"{""type"": ""Point"", ""coordinates"": [3.05857992, 50.6329689]}","3.05857992, 50.6329689",Tournai (BE),Tournai,"{""type"": ""Point"", ""coordinates"": [3.3893199, 50.60715103]}","3.3893199, 50.60715103"
Pedro de Ledesma,121795,Salamanca (ES),Salamanca,"{""type"": ""Point"", ""coordinates"": [-5.6500001, 40.96667099]}","-5.6500001, 40.96667099",Salamanca (ES),Salamanca,"{""type"": ""Point"", ""coordinates"": [-5.6500001, 40.96667099]}","-5.6500001, 40.96667099"
Matthias Naveau,121793,,,,,Tournai (BE),Tournai,"{""type"": ""Point"", ""coordinates"": [3.3893199, 50.60715103]}","3.3893199, 50.60715103"
Louis Le Pippre,121790,La Bassée (FR),La Bassée,"{""type"": ""Point"", ""coordinates"": [2.80620003, 50.53424072]}","2.80620003, 50.53424072",Soignies (BE),Soignies,"{""type"": ""Point"", ""coordinates"": [4.07129002, 50.57904053]}","4.07129002, 50.57904053"
Vincente Ferrer,121771,,,,,,,,
Jean d'Ennetières,121764,Tournai (BE),Tournai,"{""type"": ""Point"", ""coordinates"": [3.3893199, 50.60715103]}","3.3893199, 50.60715103",,,,
Pedro Juan Zaragoza de Heredia,121759,,,,,,,,
Jaspar d'Ennetières,121719,Tournai (BE),Tournai,"{""type"": ""Point"", ""coordinates"": [3.3893199, 50.60715103]}","3.3893199, 50.60715103",Tournai (BE),Tournai,"{""type"": ""Point"", ""coordinates"": [3.3893199, 50.60715103]}","3.3893199, 50.60715103"
Jean Surius,121718,Béthune (FR),Béthune,"{""type"": ""Point"", ""coordinates"": [2.63333011, 50.533329009999996]}","2.63333011, 50.533329009999996",Tournai (BE),Tournai,"{""type"": ""Point"", ""coordinates"": [3.3893199, 50.60715103]}","3.3893199, 50.60715103"
Francisco de Castro,121715,,,,,Granada (ES),Granada,"{""type"": ""Point"", ""coordinates"": [-3.6066699, 37.18817139]}","-3.6066699, 37.18817139"
Martin Eisengrein,121584,Stuttgart (DE),Stuttgart,"{""type"": ""Point"", ""coordinates"": [9.17702007, 48.78231812]}","9.17702007, 48.78231812",Ingolstadt (DE),Ingolstadt,"{""type"": ""Point"", ""coordinates"": [11.42372036, 48.76507949999999]}","11.42372036, 48.76507949999999"
Friedrich Sylburg,121571,Rosenthal (DE),Rosenthal,"{""type"": ""Point"", ""coordinates"": [8.86736012, 50.97438812]}","8.86736012, 50.97438812",Heidelberg (DE),Heidelberg,"{""type"": ""Point"", ""coordinates"": [8.69079018, 49.40768051]}","8.69079018, 49.40768051"
Prosper Stellart,121507,Tournai (BE),Tournai,"{""type"": ""Point"", ""coordinates"": [3.3893199, 50.60715103]}","3.3893199, 50.60715103",Gaeta (IT),Gaeta,"{""type"": ""Point"", ""coordinates"": [13.57081985, 41.21408081]}","13.57081985, 41.21408081"
Anne Regnault,121506,,,,,,,,
Henri de Sponde,121505,Mauléon-Licharre (FR),Mauléon-Licharre,"{""type"": ""Point"", ""coordinates"": [-0.88037997, 43.22684097]}","-0.88037997, 43.22684097",Toulouse (FR),Toulouse,"{""type"": ""Point"", ""coordinates"": [1.44367003, 43.60425949]}","1.44367003, 43.60425949"
Alessandro Farnese,121498,Roma (IT),Roma,"{""type"": ""Point"", ""coordinates"": [12.48390007, 41.89474106]}","12.48390007, 41.89474106",Arras (FR),Arras,"{""type"": ""Point"", ""coordinates"": [2.78186011, 50.29301071]}","2.78186011, 50.29301071"
Charles Véron,121495,Crespin (FR),Crespin,"{""type"": ""Point"", ""coordinates"": [3.66137004, 50.421100620000004]}","3.66137004, 50.421100620000004",Tournai (BE),Tournai,"{""type"": ""Point"", ""coordinates"": [3.3893199, 50.60715103]}","3.3893199, 50.60715103"
Jean Rosier,121493,Orchies (FR),Orchies,"{""type"": ""Point"", ""coordinates"": [3.2333300100000004, 50.466670990000004]}","3.2333300100000004, 50.466670990000004",,,,
Nicolas Laurent,121488,,,,,,,,
Theophile Bernardin,121486,Sedan (FR),Sedan,"{""type"": ""Point"", ""coordinates"": [4.94999981, 49.70000076]}","4.94999981, 49.70000076",Arras (FR),Arras,"{""type"": ""Point"", ""coordinates"": [2.78186011, 50.29301071]}","2.78186011, 50.29301071"
Georges Maigret,121468,Bouillon (BE),Bouillon,"{""type"": ""Point"", ""coordinates"": [5.06703997, 49.79323959]}","5.06703997, 49.79323959",Huy (BE),Huy,"{""type"": ""Point"", ""coordinates"": [5.23284006, 50.51893997]}","5.23284006, 50.51893997"
Jacobus Doff,121325,,,,,,,,
Antoine Surius,121322,,,,,,,,
Pietro Aretino,121178,,,,,,,,
George Perrot,121176,,,,,,,,
John Gennings,121172,Lichfield (GB),Lichfield,"{""type"": ""Point"", ""coordinates"": [-1.82549, 52.68154144]}","-1.82549, 52.68154144",Douai (FR),Douai,"{""type"": ""Point"", ""coordinates"": [3.0666699399999997, 50.3666687]}","3.0666699399999997, 50.3666687"
Paschal Robin,121131,,,,,,,,
Jean Tigeou,121129,,,,,,,,
Pierre Viel,121128,,,,,,,,
Michel Coyssard,121105,Besse-et-Saint-Anastaise (FR),Besse-et-Saint-Anastaise,"{""type"": ""Point"", ""coordinates"": [2.93333, 45.51667]}","2.93333, 45.51667",Lyon (FR),Lyon,"{""type"": ""Point"", ""coordinates"": [4.84671021, 45.74845886]}","4.84671021, 45.74845886"
Francisco Borgia,120830,Gandia (ES),Gandia,"{""type"": ""Point"", ""coordinates"": [-0.18333, 38.96667099]}","-0.18333, 38.96667099",Roma (IT),Roma,"{""type"": ""Point"", ""coordinates"": [12.48390007, 41.89474106]}","12.48390007, 41.89474106"
Alonso de Madrid,120828,,,,,,,,
Giulio Fazio,120713,Napoli (IT),Napoli,"{""type"": ""Point"", ""coordinates"": [14.25, 40.83332825]}","14.25, 40.83332825",Monreale (IT),Monreale,"{""type"": ""Point"", ""coordinates"": [13.288539889999997, 38.08005142]}","13.288539889999997, 38.08005142"
Antoine de Balinghem,120704,Saint-Omer (FR),Saint-Omer,"{""type"": ""Point"", ""coordinates"": [2.25, 50.75]}","2.25, 50.75",Lille (FR),Lille,"{""type"": ""Point"", ""coordinates"": [3.05857992, 50.6329689]}","3.05857992, 50.6329689"
Jean Puget de La Serre,120591,Toulouse (FR),Toulouse,"{""type"": ""Point"", ""coordinates"": [1.44367003, 43.60425949]}","1.44367003, 43.60425949",Paris (FR),Paris,"{""type"": ""Point"", ""coordinates"": [2.34879994, 48.85340881]}","2.34879994, 48.85340881"
Etienne Binet,120589,Dijon (FR),Dijon,"{""type"": ""Point"", ""coordinates"": [5.01667023, 47.31666946000001]}","5.01667023, 47.31666946000001",Paris (FR),Paris,"{""type"": ""Point"", ""coordinates"": [2.34879994, 48.85340881]}","2.34879994, 48.85340881"
Vincent de Lérins,120585,,,,,,,,
Carlos Coloma,120583,Elda (ES),Elda,"{""type"": ""Point"", ""coordinates"": [-0.7915700100000002, 38.47782898]}","-0.7915700100000002, 38.47782898",Madrid (ES),Madrid,"{""type"": ""Point"", ""coordinates"": [-3.7025599500000004, 40.41650009]}","-3.7025599500000004, 40.41650009"
Alonso Rodríguez,120575,Valladolid (ES),Valladolid,"{""type"": ""Point"", ""coordinates"": [-4.72372007, 41.65518188]}","-4.72372007, 41.65518188",Sevilla (ES),Sevilla,"{""type"": ""Point"", ""coordinates"": [-5.97613001, 37.38240814]}","-5.97613001, 37.38240814"
Jõao Rodriguez,120572,,,,,,,,
Nicolas Caussin,120567,Troyes (FR),Troyes,"{""type"": ""Point"", ""coordinates"": [4.08333015, 48.29999924]}","4.08333015, 48.29999924",Paris (FR),Paris,"{""type"": ""Point"", ""coordinates"": [2.34879994, 48.85340881]}","2.34879994, 48.85340881"
C. A.,120565,,,,,,,,
Virgilio Cepari,120561,Perugia (IT),Perugia,"{""type"": ""Point"", ""coordinates"": [12.38877964, 43.11220169]}","12.38877964, 43.11220169",Roma (IT),Roma,"{""type"": ""Point"", ""coordinates"": [12.48390007, 41.89474106]}","12.48390007, 41.89474106"
Francis Bell,120547,,,,,,,,
Antonio Daza,120546,,,,,,,,
Nicholas Sander,120538,Horley (GB),Horley,"{""type"": ""Point"", ""coordinates"": [-0.15919, 51.17422867]}","-0.15919, 51.17422867",,,,
Clement Reyner,120534,Ripon (GB),Ripon,"{""type"": ""Point"", ""coordinates"": [-1.5212199700000002, 54.13520813]}","-1.5212199700000002, 54.13520813",Hildesheim (DE),Hildesheim,"{""type"": ""Point"", ""coordinates"": [9.95112038, 52.15076828]}","9.95112038, 52.15076828"
Philippe d'Outreman,120528,Valenciennes (FR),Valenciennes,"{""type"": ""Point"", ""coordinates"": [3.5333299599999997, 50.34999847000001]}","3.5333299599999997, 50.34999847000001",Valenciennes (FR),Valenciennes,"{""type"": ""Point"", ""coordinates"": [3.5333299599999997, 50.34999847000001]}","3.5333299599999997, 50.34999847000001"
Diego de Estella,120526,Estella (ES),Estella,"{""type"": ""Point"", ""coordinates"": [-2.03225994, 42.67182159]}","-2.03225994, 42.67182159",Salamanca (ES),Salamanca,"{""type"": ""Point"", ""coordinates"": [-5.6500001, 40.96667099]}","-5.6500001, 40.96667099"
Giuseppe Biondi,120517,Agrigento (IT),Agrigento,"{""type"": ""Point"", ""coordinates"": [13.588760380000002, 37.32083893]}","13.588760380000002, 37.32083893",Napoli (IT),Napoli,"{""type"": ""Point"", ""coordinates"": [14.25, 40.83332825]}","14.25, 40.83332825"
I. G.,120505,,,,,,,,
Leonardus Lessius,120501,Brecht (BE),Brecht,"{""type"": ""Point"", ""coordinates"": [4.63828993, 51.35023879999999]}","4.63828993, 51.35023879999999",Leuven (BE),Leuven,"{""type"": ""Point"", ""coordinates"": [4.70093012, 50.879589079999995]}","4.70093012, 50.879589079999995"
Magnus Albertus,120489,,,,,,,,
John Floyd,120456,,,,,Saint-Omer (FR),Saint-Omer,"{""type"": ""Point"", ""coordinates"": [2.25, 50.75]}","2.25, 50.75"
Mary Percy,120455,,,,,,,,
Martinus Becanus,120444,Hilvarenbeek (NL),Hilvarenbeek,"{""type"": ""Point"", ""coordinates"": [5.13749981, 51.485828399999995]}","5.13749981, 51.485828399999995",Vienna (AT),Vienna,"{""type"": ""Point"", ""coordinates"": [16.37207985, 48.20848846]}","16.37207985, 48.20848846"
Orazio Torsellino,120437,,,,,,,,
Christopher Davenport,120411,Coventry (GB),Coventry,"{""type"": ""Point"", ""coordinates"": [-1.5121699600000003, 52.40655899000001]}","-1.5121699600000003, 52.40655899000001",,,,
Henry Holden,120410,,,,,,,,
Augustine Baker,120409,Abergavenny (GB),Abergavenny,"{""type"": ""Point"", ""coordinates"": [-3.01743007, 51.82098007]}","-3.01743007, 51.82098007",,,,
George Leyburn,120408,,,,,Châlons-en-Champagne (FR),Châlons-en-Champagne,"{""type"": ""Point"", ""coordinates"": [4.36723995, 48.9539299]}","4.36723995, 48.9539299"
P. J.,120407,,,,,,,,
John Edward Byfleet,120406,Bratton (GB),Bratton,"{""type"": ""Point"", ""coordinates"": [-2.12443995, 51.27056122]}","-2.12443995, 51.27056122",Stourbridge (GB),Stourbridge,"{""type"": ""Point"", ""coordinates"": [-2.14317012, 52.456081389999994]}","-2.14317012, 52.456081389999994"
Thomas Bayly,120405,,,,,,,,
Henry Turberville,120401,Staffordshire (GB),Staffordshire,"{""type"": ""Point"", ""coordinates"": [-2.03686, 52.8577]}","-2.03686, 52.8577",London (GB),London,"{""type"": ""Point"", ""coordinates"": [-0.12574001, 51.50852966]}","-0.12574001, 51.50852966"
Robert Howard,120400,,,,,,,,
Lewis Palgrave,120398,,,,,,,,
John Fursdon,120395,Devon (GB),Devon,"{""type"": ""Point"", ""coordinates"": [-3.8, 50.7]}","-3.8, 50.7",,,,
Guillaume Du Vair,120394,,,,,,,,
Richard Mason,120393,Swindon (GB),Swindon,"{""type"": ""Point"", ""coordinates"": [-1.78116, 51.55796814]}","-1.78116, 51.55796814",Douai (FR),Douai,"{""type"": ""Point"", ""coordinates"": [3.0666699399999997, 50.3666687]}","3.0666699399999997, 50.3666687"
Elizabeth Evelinge,120392,,,,,Aire-sur-la-Lys (FR),Aire-sur-la-Lys,"{""type"": ""Point"", ""coordinates"": [2.39876008, 50.63871002]}","2.39876008, 50.63871002"
Catherine Bentley,120391,,,,,Aire-sur-la-Lys (FR),Aire-sur-la-Lys,"{""type"": ""Point"", ""coordinates"": [2.39876008, 50.63871002]}","2.39876008, 50.63871002"
Luke Wadding,120390,Waterford (IE),Waterford,"{""type"": ""Point"", ""coordinates"": [-7.11193991, 52.2583313]}","-7.11193991, 52.2583313",Roma (IT),Roma,"{""type"": ""Point"", ""coordinates"": [12.48390007, 41.89474106]}","12.48390007, 41.89474106"
John Hawkins,120389,,,,,,,,
John Lechmere,120388,,,,,,,,
Valeriano Magni,120387,,,,,,,,
Edmund Thomas Hill,120386,Somerset (UK),Somerset,"{""type"": ""Point"", ""coordinates"": [-3.0, 51.08333]}","-3.0, 51.08333",Douai (FR),Douai,"{""type"": ""Point"", ""coordinates"": [3.0666699399999997, 50.3666687]}","3.0666699399999997, 50.3666687"
Andrés de Soto,120385,Sahagún (ES),Sahagún,"{""type"": ""Point"", ""coordinates"": [-5.0294199, 42.37084961]}","-5.0294199, 42.37084961",Brussel (),Brussel,,
Martin Baes,120382,,,,,,,,
Jerome Porter,120381,,,,,Douai (FR),Douai,"{""type"": ""Point"", ""coordinates"": [3.0666699399999997, 50.3666687]}","3.0666699399999997, 50.3666687"
Jean-Pierre Camus,120380,Paris (FR),Paris,"{""type"": ""Point"", ""coordinates"": [2.34879994, 48.85340881]}","2.34879994, 48.85340881",,,,
William Bell,120379,,,,,,,,
Bernard of Clairvaux,120372,,,,,,,,
Cresacre More,120371,,,,,,,,
Urbanus VIII,120370,,,,,,,,
Miles Pinkney,120368,,,,,Paris (FR),Paris,"{""type"": ""Point"", ""coordinates"": [2.34879994, 48.85340881]}","2.34879994, 48.85340881"
Jacques Davy du Perron,120366,Saint-Lô (FR),Saint-Lô,"{""type"": ""Point"", ""coordinates"": [-1.09030998, 49.11624146]}","-1.09030998, 49.11624146",Paris (FR),Paris,"{""type"": ""Point"", ""coordinates"": [2.34879994, 48.85340881]}","2.34879994, 48.85340881"
Edmund Lechmere,120364,,,,,Douai (FR),Douai,"{""type"": ""Point"", ""coordinates"": [3.0666699399999997, 50.3666687]}","3.0666699399999997, 50.3666687"
William Malone,120363,Dublin (IE),Dublin,"{""type"": ""Point"", ""coordinates"": [-6.24888992, 53.33306122]}","-6.24888992, 53.33306122",Sevilla (ES),Sevilla,"{""type"": ""Point"", ""coordinates"": [-5.97613001, 37.38240814]}","-5.97613001, 37.38240814"
Nicholas Byfield,120361,Warwick (GB),Warwick,"{""type"": ""Point"", ""coordinates"": [-1.58333004, 52.28332901]}","-1.58333004, 52.28332901",Hounslow (GB),Hounslow,"{""type"": ""Point"", ""coordinates"": [-0.36092001, 51.46839142000001]}","-0.36092001, 51.46839142000001"
Laurence Anderton,120360,Lancashire (GB),Lancashire,"{""type"": ""Point"", ""coordinates"": [-2.6, 53.8]}","-2.6, 53.8",,,,
N. N.,120333,,,,,,,,
Jacques Brousse,120331,,,,,,,,
Antonie Batt,120330,,,,,,,,
John Daniel,120329,,,,,,,,
Ignazio Balsamo,120328,Trani (IT),Trani,"{""type"": ""Point"", ""coordinates"": [16.41537094, 41.27273178]}","16.41537094, 41.27273178",Limoges (FR),Limoges,"{""type"": ""Point"", ""coordinates"": [1.25779998, 45.83153152]}","1.25779998, 45.83153152"
Philip Bouvot,120327,,,,,,,,
William Stanney,120326,,,,,,,,
François Veron,120323,Paris (FR),Paris,"{""type"": ""Point"", ""coordinates"": [2.34879994, 48.85340881]}","2.34879994, 48.85340881",Charenton-le-Pont (FR),Charenton-le-Pont,"{""type"": ""Point"", ""coordinates"": [2.41216993, 48.82209015]}","2.41216993, 48.82209015"
Richard Broughton,120322,Huntingdon (GB),Huntingdon,"{""type"": ""Point"", ""coordinates"": [-0.18651, 52.33049011000001]}","-0.18651, 52.33049011000001",,,,
Oliver Almond,120306,,,,,,,,
John Yakesley,120305,,,,,,,,
François de Sales,120304,Sales (FR),Sales,"{""type"": ""Point"", ""coordinates"": [5.95998001, 45.87575912]}","5.95998001, 45.87575912",Lyon (FR),Lyon,"{""type"": ""Point"", ""coordinates"": [4.84671021, 45.74845886]}","4.84671021, 45.74845886"
Richard Hopkins,120301,,,,,Leuven (BE),Leuven,"{""type"": ""Point"", ""coordinates"": [4.70093012, 50.879589079999995]}","4.70093012, 50.879589079999995"
Luis de La Puente,120273,Valladolid (ES),Valladolid,"{""type"": ""Point"", ""coordinates"": [-4.72372007, 41.65518188]}","-4.72372007, 41.65518188",Valladolid (ES),Valladolid,"{""type"": ""Point"", ""coordinates"": [-4.72372007, 41.65518188]}","-4.72372007, 41.65518188"
Anthony Maria Browne,120272,,,,,,,,
Richard Gibbons,120271,,,,,Douai (FR),Douai,"{""type"": ""Point"", ""coordinates"": [3.0666699399999997, 50.3666687]}","3.0666699399999997, 50.3666687"
Luca Pinelli,120270,,,,,,,,
Humphrey Leech,120269,Market Drayton (GB),Market Drayton,"{""type"": ""Point"", ""coordinates"": [-2.49011993, 52.90538025]}","-2.49011993, 52.90538025",,,,
Matthew Kellison,120268,Northampton (GB),Northampton,"{""type"": ""Point"", ""coordinates"": [-0.88332999, 52.25]}","-0.88332999, 52.25",Douai (FR),Douai,"{""type"": ""Point"", ""coordinates"": [3.0666699399999997, 50.3666687]}","3.0666699399999997, 50.3666687"
Lorenzo Scupoli,120267,Otranto (IT),Otranto,"{""type"": ""Point"", ""coordinates"": [18.48592949, 40.14781952]}","18.48592949, 40.14781952",Napoli (IT),Napoli,"{""type"": ""Point"", ""coordinates"": [14.25, 40.83332825]}","14.25, 40.83332825"
Edward Maihew,120265,Dinton (GB),Dinton,"{""type"": ""Point"", ""coordinates"": [-1.98333001, 51.08332825]}","-1.98333001, 51.08332825",Cambrai (FR),Cambrai,"{""type"": ""Point"", ""coordinates"": [3.2333300100000004, 50.16667175]}","3.2333300100000004, 50.16667175"
Petrus Frarinus,120264,,,,,,,,
Nicholas Love,120258,,,,,,,,
George Flinton,120256,,,,,,,,
John Fenn,120255,Somerset (UK),Somerset,"{""type"": ""Point"", ""coordinates"": [-3.0, 51.08333]}","-3.0, 51.08333",Leuven (BE),Leuven,"{""type"": ""Point"", ""coordinates"": [4.70093012, 50.879589079999995]}","4.70093012, 50.879589079999995"
John Fraser,120254,,,,,,,,
Alfonso Villegas,120253,,,,,,,,
Edward Kinsman,120252,,,,,,,,
William Kinsman,120251,,,,,,,,
Thomas Fitzherbert,120250,Staffordshire (GB),Staffordshire,"{""type"": ""Point"", ""coordinates"": [-2.03686, 52.8577]}","-2.03686, 52.8577",Roma (IT),Roma,"{""type"": ""Point"", ""coordinates"": [12.48390007, 41.89474106]}","12.48390007, 41.89474106"
Theophilus Higgons,120248,,,,,,,,
Jean de Caumont,120233,,,,,,,,
Pope Gregory I the Great,120232,,,,,,,,
Henry FitzSimon,120229,Dublin (IE),Dublin,"{""type"": ""Point"", ""coordinates"": [-6.24888992, 53.33306122]}","-6.24888992, 53.33306122",Kilkenny (IE),Kilkenny,"{""type"": ""Point"", ""coordinates"": [-7.25222015, 52.65417099]}","-7.25222015, 52.65417099"
Thomas Worthington,120228,Wigan (GB),Wigan,"{""type"": ""Point"", ""coordinates"": [-2.61666989, 53.533329009999996]}","-2.61666989, 53.533329009999996",Biddulph (GB),Biddulph,"{""type"": ""Point"", ""coordinates"": [-2.1758399, 53.11724091000001]}","-2.1758399, 53.11724091000001"
Philip Woodward,120227,,,,,Lyon (FR),Lyon,"{""type"": ""Point"", ""coordinates"": [4.84671021, 45.74845886]}","4.84671021, 45.74845886"
Richard Smith,120226,Lincolnshire (GB),Lincolnshire,"{""type"": ""Point"", ""coordinates"": [-0.18333333, 53.06666667]}","-0.18333333, 53.06666667",Paris (FR),Paris,"{""type"": ""Point"", ""coordinates"": [2.34879994, 48.85340881]}","2.34879994, 48.85340881"
Richard Hadock,120221,,,,,Roma (IT),Roma,"{""type"": ""Point"", ""coordinates"": [12.48390007, 41.89474106]}","12.48390007, 41.89474106"
Roberto Francesco Bellarmino,120219,,,,,Roma (IT),Roma,"{""type"": ""Point"", ""coordinates"": [12.48390007, 41.89474106]}","12.48390007, 41.89474106"
Willem Estius,120180,Gorinchem (NL),Gorinchem,"{""type"": ""Point"", ""coordinates"": [4.97243023, 51.83652115]}","4.97243023, 51.83652115",Douai (FR),Douai,"{""type"": ""Point"", ""coordinates"": [3.0666699399999997, 50.3666687]}","3.0666699399999997, 50.3666687"
Charles de Croÿ,120177,,,,,,,,
Renon de Bauldain,120173,,,,,,,,
Catherine de Bourbon,120135,,,,,,,,
Philippe de Caverel,120134,,,,,,,,
Jean Michel,120132,,,,,,,,
Gabrielle d'Esne,120131,,,,,,,,
Heinrich von Langestein,120130,Frankfurt am Main (DE),Frankfurt am Main,"{""type"": ""Point"", ""coordinates"": [8.68416977, 50.11552048]}","8.68416977, 50.11552048",Vienna (AT),Vienna,"{""type"": ""Point"", ""coordinates"": [16.37207985, 48.20848846]}","16.37207985, 48.20848846"
Don John of Austria,120128,Regensburg (DE),Regensburg,"{""type"": ""Point"", ""coordinates"": [12.09556007, 49.01499939]}","12.09556007, 49.01499939",Namur (BE),Namur,"{""type"": ""Point"", ""coordinates"": [4.86745977, 50.466899870000006]}","4.86745977, 50.466899870000006"
Jonas du Bois,120125,,,,,,,,
Antoine de Bourgogne,120124,,,,,,,,
Jacques Daneulx,120122,,,,,,,,
Engelbert des Bois,120086,Brussel (),Brussel,,,,,,
Christophe de France,120079,,,,,,,,
Petrus Paunet,120077,,,,,,,,
Jacques Blaes,120076,,,,,,,,
François Vilain de Gand,120075,,,,,,,,
Maximilien Vilain de Gand,120074,,,,,,,,
Maximilien Morillon,120073,Brussel (),Brussel,,,,,,
Gilbert d'Oignies,120071,Tournai (BE),Tournai,"{""type"": ""Point"", ""coordinates"": [3.3893199, 50.60715103]}","3.3893199, 50.60715103",Kortrijk (BE),Kortrijk,"{""type"": ""Point"", ""coordinates"": [3.26486993, 50.82802963]}","3.26486993, 50.82802963"
Gaspar Nemius,120069,'s-Hertogenbosch (NL),'s-Hertogenbosch,"{""type"": ""Point"", ""coordinates"": [5.30417013, 51.69916916]}","5.30417013, 51.69916916",Cambrai (FR),Cambrai,"{""type"": ""Point"", ""coordinates"": [3.2333300100000004, 50.16667175]}","3.2333300100000004, 50.16667175"
Joseph de Bergaigne,120068,Breda (NL),Breda,"{""type"": ""Point"", ""coordinates"": [4.77595997, 51.586559300000005]}","4.77595997, 51.586559300000005",Münster (DE),Münster,"{""type"": ""Point"", ""coordinates"": [7.62571001, 51.96236038]}","7.62571001, 51.96236038"
François Van der Burch,120067,,,,,,,,
Guillaume de Berghes,120066,,,,,,,,
Jean Sarrazin,120065,Arras (FR),Arras,"{""type"": ""Point"", ""coordinates"": [2.78186011, 50.29301071]}","2.78186011, 50.29301071",Brussel (),Brussel,,
Robert de Croÿ,120064,,,,,Cambrai (FR),Cambrai,"{""type"": ""Point"", ""coordinates"": [3.2333300100000004, 50.16667175]}","3.2333300100000004, 50.16667175"
Paul Boudot,120063,Morteau (FR),Morteau,"{""type"": ""Point"", ""coordinates"": [6.607160090000001, 47.05783844]}","6.607160090000001, 47.05783844",Arras (FR),Arras,"{""type"": ""Point"", ""coordinates"": [2.78186011, 50.29301071]}","2.78186011, 50.29301071"
Hermann Ottemberg,120062,,,,,,,,
Jean Richardot,120061,Arras (FR),Arras,"{""type"": ""Point"", ""coordinates"": [2.78186011, 50.29301071]}","2.78186011, 50.29301071",Cambrai (FR),Cambrai,"{""type"": ""Point"", ""coordinates"": [3.2333300100000004, 50.16667175]}","3.2333300100000004, 50.16667175"
Jean du Ploïch,120060,,,,,,,,
Mathieu Moulart,120059,Arras (FR),Arras,"{""type"": ""Point"", ""coordinates"": [2.78186011, 50.29301071]}","2.78186011, 50.29301071",,,,
Jean Vendeville,119940,Sainghin-en-Mélantois (FR),Sainghin-en-Mélantois,"{""type"": ""Point"", ""coordinates"": [3.16618991, 50.58835983]}","3.16618991, 50.58835983",Tournai (BE),Tournai,"{""type"": ""Point"", ""coordinates"": [3.3893199, 50.60715103]}","3.3893199, 50.60715103"
